PLANTID,CODE,URL,TIÊU ĐỀ,TÊN KHOA HỌC,TÊN GỌI,TÊN GỌI KHÁC,TÊN TIẾNG ANH,GIÁ,MÔ TẢ,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC,XUẤT XỨ,NGƯỜI LAI TẠO,ĐẶC TÍNH PHÁT TRIỂN,KÍCH CỠ BÔNG,KIỂU CÁNH,MÙI HƯƠNG,ĐỘ LẶP,ĐỘ BỀN HOA,ĐỘ THOÁT NƯỚC,NƠI ĐỂ TRỒNG,LƯỢNG NẮNG CẦN THIẾT,KHẢ NĂNG KHÁNG BỆNH,YÊU CẦU CHĂM SÓC,HỌ THỰC VẬT,CHIỀU CAO,ĐƯỜNG KÍNH GỐC,HỌ,ĐƯỜNG KÍNH THÂN
CCNPLT0728,PEBA001,https://mowgarden.com/cay-hoa-lan-hoang-duong-chau-uom-peba001/,Cây hoa lan hoàng dương chậu ươm PEBA001,Petraeovitex bambusetorum,Cây lan hoàng dương,,,180000,"Cây hoa lan hoàng dương là dòng cây thân leo, có hoa màu vàng rực rỡ, buông rủ như những tầm rèm vàng đẹp mắt. Chúng thường được trồng để phủ xanh không gian giống, thích hợp cho việc trồng trong chậu treo hoặc trồng bồn trên ban công.",Chiều cao tổng: 90 – 120 cm,Dễ chăm sóc,Nắng trực tiếp 6 – 8h/ngày,Tưới nước mỗi ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0729,MURA002,https://mowgarden.com/cay-hoa-nguyet-que-dang-tree-chau-uom-mura002/,Cây hoa nguyệt quế dáng tree chậu ươm MURA002,Murraya paniculata,Cây nguyệt quế,,,650000,"Cây hoa nguyệt quế loại cây trồng hàng rào rất phổ biến bởi nó có sức sống rất mãnh liệt, không cần tốn nhiều công chăm sóc mà vẫn xanh tốt. Cây ắc ó thuộc loại thân gỗ lớn, sống lâu năm, có hoa rất thơm.",Chiều cao 120 – 140 cm,Rất dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0730,BGTL002,https://mowgarden.com/cay-bong-giay-thai-lan-mau-trang-chau-uom-bgtl002/,Cây bông giấy Thái Lan màu trắng chậu ươm BGTL002,,,Cây bông giấy Thái,,280000,"Cây hoa giấy Thái rất thích hợp với khí hậu tại VN, nó là loại cây ưa nắng ấm, cần nhiều ánh sáng.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 80 – 100 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0731,BAMBU003,https://mowgarden.com/cay-tre-vang-bambusa-vulgaris/,Cây tre vàng Bambusa vulgaris,Bambusa vulgaris,,Tre vàng,,120000,"Tre Vàng là một loại cây ngoại cảnh được trồng thành khóm để trang trí sân vườn, hàng rào, sát tường hoặc dọc lối đi vào nhà giúp tạo không gian xanh mát, tô điểm thêm cho ngôi nhà và mang những ý nghĩa tốt đẹp trong phong thủy.","• Số lượng: 1 thân/bụi
• Chiều cao: 180 – 220 cm",Rất dễ chăm sóc,Nắng trực tiếp hoặc gián tiếp,Tưới nước mỗi ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0732,,https://mowgarden.com/cay-truc-can-cau-phyllostachys-aurea/,Cây trúc cần câu Phyllostachys aurea,Phyllostachys aurea,,Trúc cần câu,,150000,"Trúc Cần Câu là một loại cây ngoại cảnh được trồng thành khóm để trang trí sân vườn, hàng rào, sát tường hoặc dọc lối đi vào nhà giúp tạo không gian xanh mát, tô điểm thêm cho ngôi nhà và mang những ý nghĩa tốt đẹp trong phong thủy.","• Số lượng: 5 8 thân/bụi
• Chiều cao: 180 – 220 cm",Rất dễ chăm sóc,Nắng trực tiếp hoặc gián tiếp,Tưới nước mỗi ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0733,HCMX002,https://mowgarden.com/chau-hoa-cuc-mam-xoi-trang-tri-xot-nhua-hcmx002/,Chậu hoa cúc mâm xôi trang trí xọt nhựa HCMX002,Chrysanthemum morifolium,Hoa cúc mâm xôi,,,160000,"Cúc mâm xôi là một trong các loài hoa không thể thiếu vào dịp Tết cổ truyền. Chậu cúc mâm xôi có hình dáng tỏa ra theo dạng hình cầu, mang ý nghĩa vẹn tròn, cho một năm mới xuôn sẻ. Với màu vàng được xem là màu của sung túc, đầm ấm và nhiều tài lộc hơn. Do đó, người ta thường tặng cả cặp làm quà tặng cho ông bà, cha mẹ hoặc quý đối tác.","• Đường kính tán: 40cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 1 lần/ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0734,,https://mowgarden.com/cay-tra-do/,Cây Trà đỏ chậu đất nung họa tiết hoa cúc Camellia Japonica,Camellia Japonica,Trà hoa đỏ,,,850000,,Chiều cao tổng: 80cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 4 – 5 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0735,,https://mowgarden.com/cay-hai-duong-chau-su-trang-co-hoa-tiet-camellia-amplexicaulis-came001/,Cây Hải đường chậu sứ trắng có họa tiết Camellia amplexicaulis CAME001,Camellia amplexicaulis,Hải Đường,,,1050000,"Hàng năm, cứ dịp tết đến xuân sang, cây hoa hải đường lại được nhiều gia đình lựa chọn đặt ở vị trí trang trọng của nhà mình. Mỗi bông hoa đỏ thắm, rực rỡ và tươi tắn như chào đón mùa xuân và hứa hẹn một năm mới nhiều điều may mắn, an lành","• Đường kính tán: 70cm
• Chiều cao tổng: 130–140cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 4 – 5 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0736,ROSE005,https://mowgarden.com/cay-hoa-hong-co-sapa-dang-treerose-chau-nhua-rose005/,Cây hoa hồng cổ Sapa dáng treerose nguyên bản chậu nhựa ROSE005,,Hoa hồng cổ Sapa,,,750000,,,,,,Chiều cao 80 – 120 cm,,,Màu hồng cánh sen,,,,Pháp,Chưa xác định,Thân bụi,5 – 12 cm,Cánh kép (17 – 50 cánh hoa),Ít thơm,5 – 7 tuần/lứa,3 – 5 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0737,ROSE004,https://mowgarden.com/cay-hoa-hong-molinuex-dang-treerose-chau-nhua-rose004/,Cây hoa hồng Molinuex dáng treerose chậu nhựa ROSE004,,Molinuex rose,,,850000,,,,,,Chiều cao 80 – 120 cm,,,"Màu vàng nhạt, cam quả mơ",,,,Anh,David Austin (2004),Thân bụi cao,5 – 12 cm,Cánh kép (+25 cánh hoa),Hương trái cây dịu ngọt,4 – 5 tuần/lứa,3 – 5 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0738,ROSE003,https://mowgarden.com/cay-hoa-hong-leo-soeur-emmanuelle-chau-da-mai-rose003/,Cây hoa hồng leo Soeur Emmanuelle chậu đá mài ROSE003,,Soeur Emmanuelle rose / Chant rose Misato,,,800000,,,,,,Chiều cao 80 – 120 cm,,,Màu hồng cánh sen hoặc hơi tím hoa cà,,,,Pháp,G. Delbard (2004),"Thân bụi cao, có thể uốn thân cây, đào tạo thành hoa hồng leo",7 – 12 cm,Cánh kép (+50 cánh hoa),Hương nước hoa dịu ngọt,4 – 6 tuần/lứa,5 – 7 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0739,ROSE002,https://mowgarden.com/cay-hoa-hong-leo-soeur-emmanuelle-chau-nhua-tu-quy-rose002/,Cây hoa hồng leo Soeur Emmanuelle chậu nhựa tứ quý ROSE002,,Soeur Emmanuelle rose / Chant rose Misato,,,480000,,,,,,Chiều cao 80 – 120 cm,,,Màu hồng cánh sen hoặc hơi tím hoa cà,,,,Pháp,G. Delbard (2004),"Thân bụi cao, có thể uốn thân cây, đào tạo thành hoa hồng leo",7 – 12 cm,Cánh kép (+50 cánh hoa),Hương nước hoa dịu ngọt,4 – 6 tuần/lứa,5 – 7 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0740,ROSE002,https://mowgarden.com/cay-hoa-hong-leo-soeur-emmanuelle-chau-uom-co-trung-rose001/,Cây hoa hồng leo Soeur Emmanuelle chậu nhựa tứ quý ROSE002,,Soeur Emmanuelle rose / Chant rose Misato,,,480000,,,,,,Chiều cao 80 – 120 cm,,,Màu hồng cánh sen hoặc hơi tím hoa cà,,,,Pháp,G. Delbard (2004),"Thân bụi cao, có thể uốn thân cây, đào tạo thành hoa hồng leo",7 – 12 cm,Cánh kép (+50 cánh hoa),Hương nước hoa dịu ngọt,4 – 6 tuần/lứa,5 – 7 ngày,Yêu cầu thoát nước tốt,"Vị trí có nhiều nắng, thoáng gió",6 – 8 giờ nắng,Kháng bệnh tốt,Dễ chăm sóc,,,,,
CCNPLT0741,HCMX001,https://mowgarden.com/chau-hoa-cuc-mam-xoi-trung-tet-co-lon-trang-tri-xot-tre-hcmx001/,Chậu hoa cúc mâm xôi trưng Tết cỡ lớn trang trí xọt tre HCMX001,Chrysanthemum morifolium,Hoa cúc mâm xôi,,,380000,"Cúc mâm xôi là một trong các loài hoa không thể thiếu vào dịp Tết cổ truyền. Chậu cúc mâm xôi có hình dáng tỏa ra theo dạng hình cầu, mang ý nghĩa vẹn tròn, cho một năm mới xuôn sẻ. Với màu vàng được xem là màu của sung túc, đầm ấm và nhiều tài lộc hơn. Do đó, người ta thường tặng cả cặp làm quà tặng cho ông bà, cha mẹ hoặc quý đối tác.","• Đường kính tán: 40cm (DxC)
• Chiều cao tổng: 50 – 55cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 4 – 5 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0742,ELAS005,https://mowgarden.com/cay-da-bup-do-chau-dat-nung-heli001/,Cây đa búp đỏ chậu đất nung ELAS005,Ficus elastica,Đa búp đỏ,,,440000,"Đa Búp Đỏ là loại cây có sức sống mãnh liệt, nó tượng trưng sự vươn lên mạnh mẽ, trường tồn và hạnh phúc. Không chỉ mang lại điểm nhấn xanh cho không gian sống, Đa Búp Đỏ còn còn mang lại ý nghĩa rất tốt trong phong thủy, giúp gia đình hòa thuận, mọi việc thuận lợi.",Chiều cao: 80 – 100 cm,Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0743,HELI001,https://mowgarden.com/cay-chuoi-mo-ket-cam-thach-chau-uom-heli001/,Cây chuối mỏ két cẩm thạch chậu ươm HELI001,Heliconia Psittacorum Variegated ‘Lady Di’,Cây chuối mỏ két đỏ / Thiên điểu cẩm thạch,,,110000,"Chuối mỏ két cẩm thạch là loài cây nhiệt đới có hoa và bộ lá tươi sáng, thích hợp trồng trang trí sân vườn, ban công hoặc sân thượng. Loài cây này có đặc điểm sống trong râm mát nên cũng có thể đặt trang trí trong nhà rất đẹp mắt.",Chiều cao: 50 – 70 cm,Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0744,BUBU006,https://mowgarden.com/cay-bang-dai-loan-cam-thach-chau-dat-nung-bubu006/,Cây bàng đài loan cẩm thạch chậu đất nung BUBU006,Bucida buceras Variegated,,Bàng Đài Loan cẩm thạch,,750000,"Bàng Đài Loan cẩm thạch có lá nhỏ xinh và sắc xanh, viền trắng hồng rất khác biệt và nổi bật, giúp không gian trở nên độc đáo và sang trọng","• Kích thước chậu: 30x32cm (DxC)
• Chiều cao tổng: 80 – 100 cm",Dễ chăm sóc,Nắng tán xạ / Nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0745,BUBU001,https://mowgarden.com/cay-bang-dai-loan-cam-thach-chau-uom-bubu001/,Cây bàng đài loan cẩm thạch chậu ươm BUBU001,Bucida buceras Variegated,,Bàng Đài Loan cẩm thạch,,340000,"Bàng Đài Loan cẩm thạch có lá nhỏ xinh và sắc xanh, viền trắng hồng rất khác biệt và nổi bật, giúp không gian trở nên độc đáo và sang trọng",Chiều cao 80 – 100 cm,Dễ chăm sóc,Nắng tán xạ / Nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0746,ROSM002,https://mowgarden.com/cay-huong-thao-co-trung-chau-uom-rosm002/,Cây hương thảo cỡ trung chậu ươm ROSM002,Rosmarinus officinalis,Cây hương thảo,,,90000,"Không chỉ có tác dụng trang trí cho góc ban công mà cây hương thảo còn là một loại cây thảo mộc giúp gia tăng hương vị cho món ăn. Cây hương thảo cũng có nhiều tác dụng đối với sức khỏe con người như giải nhiệt, lợi tiểu, giảm sưng viêm, hỗ trợ tiêu hóa, có hương thơm giúp tinh thần thoải mái.",Chiều cao 40 – 45 cm,Trung bình,Nắng trực tiếp,Tưới nước hằng ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0747,LAMA003,https://mowgarden.com/cay-mon-ngua-van-alocasia-sarian-chau-uom-alsa001/,Cây cô tòng lá vàng ‘Croton Gold’ chậu ươm LAMA003,Croton Gold Dust,Cây cô tòng vàng,,,65000,"Cô tòng vàng sở hữu bộ lá vàng tươi rực rỡ, chúng thường được trồng trang trí cho bồn hoa, ban công hoặc trước hiên nhà. Loại cây này đôi lúc được trồng trong nhà, nhưng đòi hỏi phải trồng nơi có nhiều ánh sáng, gần cửa sổ.",Chiều cao 60 – 70 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước hằng ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0748,YUCA001,https://mowgarden.com/cay-dua-diep-tien-yucca-silver-chau-uom-yuca001/,Cây dứa diệp tiễn ‘Yucca Silver’ chậu ươm YUCA001,Yucca silver,,Cây dứa diệp tiễn / Thùa bạc,,120000,"Cô tòng đuôi lươn sở hữu bộ lá nhiều màu sắc rực rỡ, cùng những đường viền hoa văn độc đáo, chúngthường được trồng trang trí cho bồn hoa, ban công hoặc trước hiên nhà. Loại cây này đôi lúc được trồng trong nhà, nhưng đòi hỏi phải trồng nơi có nhiều ánh sáng, gần cửa sổ.","• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0749,LAMA002,https://mowgarden.com/cay-co-tong-duoi-luon-croton-petra-chau-uom-lama002/,Cây cô tòng đuôi lươn ‘Croton Captain Kidd’ chậu ươm LAMA002,Codiaeum variegatum,,Cây cô tòng đuôi lươn,,65000,"Cô tòng đuôi lươn sở hữu bộ lá nhiều màu sắc rực rỡ, cùng những đường viền hoa văn độc đáo, chúng thường được trồng trang trí cho bồn hoa, ban công hoặc trước hiên nhà. Loại cây này đôi lúc được trồng trong nhà, nhưng đòi hỏi phải trồng nơi có nhiều ánh sáng, gần cửa sổ.","• Kích thước tán: 30 – 40cm
• Chiều cao: 40 – 50 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,"• Ngoài trời: Tưới nước hằng ngày
• Trong nhà: 3 – 4 lần/tuần",,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0750,LAMA001,https://mowgarden.com/cay-co-tong-la-mit-chau-uom-lama001/,Cây cô tòng lá mít ‘Croton Petra’ chậu ươm LAMA001,Codiaeum variegatum ‘Petra’,,Cây cô tòng lá mít,,160000,"Cô tòng lá mít là loại có thể trồng được cả trong nhà lẫn ngoài trời. Với tán lá rực rỡ nhiều màu sắc như xanh lá, vàng, đỏ và cam, sẽ là một lựa chọn tuyệt vời để trang hoàng cho ngôi nhà thêm sinh động hơn.","• Kích thước tán: 30cm
• Chiều cao: 30 – 40 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,"• Ngoài trời: Tưới nước hằng ngày
• Trong nhà: 3 – 4 lần/tuần",,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0751,FRUI023,https://mowgarden.com/cay-oi-le-chau-uom-frui023/,Cây ổi lê chậu ươm FRUI023,,,Cây ổi lê,,280000,"Cây ổi lê giòn giòn thơm ngon, vị ngọt mát, cùi dầy, rất ít hạt và hạt mềm, quả to trung bình 3 quả/kg. Cây rất dễ trồng, không kén đất và có thời gian cho trái sớm với tỷ lệ đậu trái cao, cho thu hoạch quanh năm.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 80 – 100 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0752,ccv001,https://mowgarden.com/cay-chuong-vang-chau-uom-ccv001/,Cây chuông vàng chậu ươm CCV001,,,Chuông vàng,,220000,"Cây chuông vàng rất thích hợp với khí hậu tại VN, nó là loại cây ưa nắng ấm, cần nhiều ánh sáng.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 100 – 120 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0753,frui022,https://mowgarden.com/cay-la-voi-chau-uom-frui022/,Cây lá vối chậu ươm FRUI022,,,Lá vối,,200000,"Gốc to, cây ổn định, có thể dùng nấu nước uống thanh lọc cơ thể doctor Thanh.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 80 – 100 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0754,cbg001,https://mowgarden.com/cay-bong-giay-chau-uom-cbg001/,Cây bông giấy chậu ươm CBG001,,,Cây hoa giấy,,280000,"Cây hoa giấy rất thích hợp với khí hậu tại VN, nó là loại cây ưa nắng ấm, cần nhiều ánh sáng.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 100 – 120 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0755,frui021,https://mowgarden.com/cay-nho-xanh-chau-uom-frui021/,Cây nho xanh chậu ươm FRUI021,,,Nho xanh,,280000,"Gốc to, cây ổn định, có thể che mát, sớm ra trái",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 90 – 100 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0756,frui020,https://mowgarden.com/cay-luu-ta-do-chau-uom-frui020/,Cây lựu ta đỏ chậu ươm FRUI020,,,Lựu ta đỏ,,160000,"Những quả lựu căng đỏ tựa như những chiếc lồng đèn mang lại cho gia chủ sự may mắn, tài lộc trong cuộc sống.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 40 – 50 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0757,frui019,https://mowgarden.com/cay-ot-xiem-xanh-chau-uom-frui019/,Cây ớt xiêm xanh chậu ươm FRUI019,,,Ớt xiêm xanh,,140000,Ai thích ăn cay không thể bỏ qua chỉ cần trồng 1 cây thôi ăn hoài không hết.,,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 70 – 80 cm,,,,,,,,,,,,,,,,,,,,,,,,
